time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 18:04:16 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:18 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:20 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:23 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:25 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:27 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:29 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:31 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:35 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:37 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:40 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:42 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:44 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:47 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:50 2021,-4.5,-3.4,HD3025G_20W
Wed Dec 22 18:04:52 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:04:54 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:04:57 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:04:59 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:05:01 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:05:04 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:05:06 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:05:09 2021,-4.4,-3.4,HD3025G_20W
Wed Dec 22 18:05:11 2021,-4.4,-3.5,HD3025G_20W
Wed Dec 22 18:05:13 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:16 2021,-4.3,-3.4,HD3025G_20W
Wed Dec 22 18:05:18 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:21 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:23 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:25 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:27 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:30 2021,-4.3,-3.5,HD3025G_20W
Wed Dec 22 18:05:32 2021,-4.2,-3.5,HD3025G_20W
Wed Dec 22 18:05:34 2021,-4.2,-3.5,HD3025G_20W
Wed Dec 22 18:05:37 2021,-4.2,-3.5,HD3025G_20W
Wed Dec 22 18:05:39 2021,-4.2,-3.4,HD3025G_20W
Wed Dec 22 18:05:41 2021,-4.2,-3.5,HD3025G_20W
Wed Dec 22 18:05:43 2021,-4.2,-3.5,HD3025G_20W
Wed Dec 22 18:05:46 2021,-4.1,-3.5,HD3025G_20W
Wed Dec 22 18:05:48 2021,-4.1,-3.5,HD3025G_20W
Wed Dec 22 18:05:50 2021,-4.1,-3.4,HD3025G_20W
Wed Dec 22 18:05:52 2021,-4.1,-3.4,HD3025G_20W
Wed Dec 22 18:05:55 2021,-4.1,-3.4,HD3025G_20W
Wed Dec 22 18:05:57 2021,-4.0,-3.4,HD3025G_20W
Wed Dec 22 18:06:00 2021,-4.0,-3.4,HD3025G_20W
Wed Dec 22 18:06:02 2021,-4.0,-3.4,HD3025G_20W
Wed Dec 22 18:06:04 2021,-3.9,-3.4,HD3025G_20W
Wed Dec 22 18:06:07 2021,-3.9,-3.4,HD3025G_20W
Wed Dec 22 18:06:10 2021,-3.9,-3.4,HD3025G_20W
Wed Dec 22 18:06:12 2021,-3.9,-3.4,HD3025G_20W
Wed Dec 22 18:06:14 2021,-3.8,-3.4,HD3025G_20W
Wed Dec 22 18:06:17 2021,-3.8,-3.4,HD3025G_20W
Wed Dec 22 18:06:19 2021,-3.8,-3.4,HD3025G_20W
Wed Dec 22 18:06:21 2021,-3.8,-3.4,HD3025G_20W
Wed Dec 22 18:06:23 2021,-3.7,-3.4,HD3025G_20W
Wed Dec 22 18:06:25 2021,-3.7,-3.4,HD3025G_20W
Wed Dec 22 18:06:28 2021,-3.7,-3.4,HD3025G_20W
Wed Dec 22 18:06:30 2021,-3.7,-3.5,HD3025G_20W
Wed Dec 22 18:06:32 2021,-3.6,-3.4,HD3025G_20W
Wed Dec 22 18:06:34 2021,-3.6,-3.4,HD3025G_20W
Wed Dec 22 18:06:36 2021,-3.6,-3.5,HD3025G_20W
Wed Dec 22 18:06:39 2021,-3.6,-3.4,HD3025G_20W
Wed Dec 22 18:06:41 2021,-3.5,-3.4,HD3025G_20W
Wed Dec 22 18:06:43 2021,-3.5,-3.4,HD3025G_20W
Wed Dec 22 18:06:46 2021,-3.4,-3.4,HD3025G_20W
Wed Dec 22 18:06:48 2021,-3.4,-3.5,HD3025G_20W
Wed Dec 22 18:06:50 2021,-3.4,-3.4,HD3025G_20W
Wed Dec 22 18:06:53 2021,-3.4,-3.4,HD3025G_20W
Wed Dec 22 18:06:57 2021,-3.4,-3.4,HD3025G_20W
Wed Dec 22 18:06:59 2021,-3.3,-3.4,HD3025G_20W
Wed Dec 22 18:07:02 2021,-3.3,-3.4,HD3025G_20W
Wed Dec 22 18:07:04 2021,-3.2,-3.4,HD3025G_20W
Wed Dec 22 18:07:06 2021,-3.2,-3.4,HD3025G_20W
Wed Dec 22 18:07:09 2021,-3.1,-3.4,HD3025G_20W
Wed Dec 22 18:07:11 2021,-3.1,-3.5,HD3025G_20W
Wed Dec 22 18:07:13 2021,-3.1,-3.4,HD3025G_20W
Wed Dec 22 18:07:16 2021,-3.0,-3.5,HD3025G_20W
Wed Dec 22 18:07:18 2021,-3.0,-3.4,HD3025G_20W
Wed Dec 22 18:07:20 2021,-2.9,-3.5,HD3025G_20W
Wed Dec 22 18:07:23 2021,-2.9,-3.5,HD3025G_20W
Wed Dec 22 18:07:25 2021,-2.9,-3.5,HD3025G_20W
Wed Dec 22 18:07:27 2021,-2.8,-3.4,HD3025G_20W
Wed Dec 22 18:07:29 2021,-2.8,-3.5,HD3025G_20W
Wed Dec 22 18:07:32 2021,-2.8,-3.4,HD3025G_20W
Wed Dec 22 18:07:34 2021,-2.8,-3.5,HD3025G_20W
Wed Dec 22 18:07:36 2021,-2.7,-3.4,HD3025G_20W
Wed Dec 22 18:07:38 2021,-2.7,-3.5,HD3025G_20W
Wed Dec 22 18:07:41 2021,-2.7,-3.5,HD3025G_20W
Wed Dec 22 18:07:44 2021,-2.6,-3.5,HD3025G_20W
Wed Dec 22 18:07:46 2021,-2.6,-3.5,HD3025G_20W
Wed Dec 22 18:07:48 2021,-2.5,-3.4,HD3025G_20W
Wed Dec 22 18:07:50 2021,-2.5,-3.4,HD3025G_20W
Wed Dec 22 18:07:53 2021,-2.5,-3.5,HD3025G_20W
Wed Dec 22 18:07:55 2021,-2.4,-3.5,HD3025G_20W
Wed Dec 22 18:07:57 2021,-2.4,-3.5,HD3025G_20W
Wed Dec 22 18:08:00 2021,-2.4,-3.5,HD3025G_20W
Wed Dec 22 18:08:02 2021,-2.3,-3.5,HD3025G_20W
Wed Dec 22 18:08:04 2021,-2.3,-3.5,HD3025G_20W
Wed Dec 22 18:08:06 2021,-2.2,-3.5,HD3025G_20W
Wed Dec 22 18:08:08 2021,-2.2,-3.5,HD3025G_20W
Wed Dec 22 18:08:11 2021,-2.2,-3.5,HD3025G_20W
Wed Dec 22 18:08:13 2021,-2.1,-3.5,HD3025G_20W
Wed Dec 22 18:08:15 2021,-2.1,-3.5,HD3025G_20W
Wed Dec 22 18:08:17 2021,-2.1,-3.5,HD3025G_20W
Wed Dec 22 18:08:19 2021,-2.0,-3.5,HD3025G_20W
Wed Dec 22 18:08:22 2021,-2.0,-3.5,HD3025G_20W
Wed Dec 22 18:08:24 2021,-2.0,-3.5,HD3025G_20W
Wed Dec 22 18:08:26 2021,-1.9,-3.5,HD3025G_20W
Wed Dec 22 18:08:28 2021,-1.9,-3.5,HD3025G_20W
Wed Dec 22 18:08:30 2021,-1.9,-3.5,HD3025G_20W
Wed Dec 22 18:08:33 2021,-1.8,-3.5,HD3025G_20W
Wed Dec 22 18:08:35 2021,-1.8,-3.5,HD3025G_20W
Wed Dec 22 18:08:38 2021,-1.8,-3.5,HD3025G_20W
Wed Dec 22 18:08:40 2021,-1.7,-3.5,HD3025G_20W
Wed Dec 22 18:08:42 2021,-1.7,-3.5,HD3025G_20W
Wed Dec 22 18:08:45 2021,-1.7,-3.5,HD3025G_20W
