time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 20:46:09 2021,,-6.1,HD3025G_20W
Wed Dec 22 20:46:11 2021,,-6.1,HD3025G_20W
Wed Dec 22 20:46:14 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:17 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:19 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:23 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:25 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:28 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:31 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:33 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:37 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:40 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:43 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:45 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:46:48 2021,,-6.3,HD3025G_20W
Wed Dec 22 20:46:51 2021,,-6.3,HD3025G_20W
Wed Dec 22 20:46:53 2021,,-6.3,HD3025G_20W
Wed Dec 22 20:46:56 2021,,-6.3,HD3025G_20W
Wed Dec 22 20:46:59 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:47:02 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:47:05 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:47:07 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:47:11 2021,,-6.2,HD3025G_20W
Wed Dec 22 20:47:13 2021,,-6.1,HD3025G_20W
Wed Dec 22 20:47:16 2021,,-6.1,HD3025G_20W
Wed Dec 22 20:47:19 2021,,-6.1,HD3025G_20W
Wed Dec 22 20:47:22 2021,,-5.9,HD3025G_20W
Wed Dec 22 20:47:25 2021,,-5.8,HD3025G_20W
Wed Dec 22 20:47:27 2021,,-5.7,HD3025G_20W
Wed Dec 22 20:47:30 2021,,-5.7,HD3025G_20W
Wed Dec 22 20:47:33 2021,,-5.7,HD3025G_20W
Wed Dec 22 20:47:36 2021,,-5.6,HD3025G_20W
Wed Dec 22 20:47:39 2021,,-5.6,HD3025G_20W
Wed Dec 22 20:47:41 2021,,-5.6,HD3025G_20W
Wed Dec 22 20:47:44 2021,,-5.6,HD3025G_20W
Wed Dec 22 20:47:47 2021,,-5.6,HD3025G_20W
Wed Dec 22 20:47:49 2021,,-5.6,HD3025G_20W
Wed Dec 22 20:47:52 2021,,-5.5,HD3025G_20W
