TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr 16 17:41:23 2022,13.1,13.8,True,False
Sat Apr 16 17:41:53 2022,13.0,13.8,True,False
Sat Apr 16 17:42:23 2022,12.9,13.9,True,False
Sat Apr 16 17:42:53 2022,12.9,13.9,True,False
Sat Apr 16 17:43:23 2022,12.9,14.0,True,False
Sat Apr 16 17:43:53 2022,12.9,14.0,True,False
Sat Apr 16 17:44:23 2022,12.9,14.1,True,False
Sat Apr 16 17:44:53 2022,12.9,14.2,True,False
Sat Apr 16 17:45:23 2022,12.9,14.2,True,False
Sat Apr 16 17:45:53 2022,12.9,14.3,True,False
Sat Apr 16 17:46:23 2022,13.0,14.4,True,False
Sat Apr 16 17:46:53 2022,12.9,14.4,True,False
Sat Apr 16 17:47:23 2022,12.9,14.5,True,False
Sat Apr 16 17:47:53 2022,12.9,14.6,True,False
Sat Apr 16 17:48:23 2022,12.9,14.7,True,False
Sat Apr 16 17:48:53 2022,12.9,14.8,True,False
Sat Apr 16 17:49:23 2022,12.9,14.9,True,False
Sat Apr 16 17:49:53 2022,12.9,15.0,True,False
Sat Apr 16 17:50:23 2022,12.9,15.1,True,False
Sat Apr 16 17:50:53 2022,12.9,15.1,True,False
Sat Apr 16 17:51:23 2022,12.9,15.2,True,False
Sat Apr 16 17:51:53 2022,12.9,15.3,True,False
Sat Apr 16 17:52:23 2022,13.0,15.5,True,False
Sat Apr 16 17:52:53 2022,12.9,15.5,True,False
Sat Apr 16 17:53:23 2022,12.9,15.6,True,False
Sat Apr 16 17:53:53 2022,12.9,15.7,True,False
Sat Apr 16 17:54:23 2022,12.8,15.8,True,False
Sat Apr 16 17:54:53 2022,12.8,15.9,True,False
Sat Apr 16 17:55:23 2022,12.8,16.0,True,False
Sat Apr 16 17:55:53 2022,12.8,16.1,True,False
Sat Apr 16 17:56:23 2022,12.8,16.2,True,False
Sat Apr 16 17:56:53 2022,12.8,16.3,True,False
Sat Apr 16 17:57:23 2022,12.8,16.3,True,False
Sat Apr 16 17:57:53 2022,12.8,16.4,True,False
