TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr 16 22:28:18 2022,8.9,9.2,False,True
Sat Apr 16 22:28:48 2022,8.8,10.0,False,True
Sat Apr 16 22:29:18 2022,8.8,10.1,False,True
Sat Apr 16 22:29:48 2022,8.8,10.4,False,True
Sat Apr 16 22:30:18 2022,8.8,10.5,False,True
Sat Apr 16 22:30:48 2022,8.8,10.7,False,True
Sat Apr 16 22:31:18 2022,8.8,10.8,False,True
Sat Apr 16 22:31:48 2022,8.8,11.0,False,True
Sat Apr 16 22:32:18 2022,8.8,11.1,False,True
Sat Apr 16 22:32:48 2022,8.7,11.2,False,True
Sat Apr 16 22:33:18 2022,8.7,11.4,False,True
Sat Apr 16 22:33:48 2022,8.7,11.5,False,True
Sat Apr 16 22:34:18 2022,8.7,11.6,False,True
Sat Apr 16 22:34:48 2022,8.7,11.7,False,True
Sat Apr 16 22:35:18 2022,8.7,11.9,False,True
Sat Apr 16 22:35:48 2022,8.7,12.0,False,True
Sat Apr 16 22:36:18 2022,8.7,12.1,False,True
Sat Apr 16 22:36:48 2022,8.7,12.2,False,True
Sat Apr 16 22:37:18 2022,8.7,12.3,False,True
Sat Apr 16 22:37:48 2022,8.7,12.4,False,True
Sat Apr 16 22:38:18 2022,8.7,12.5,False,True
Sat Apr 16 22:38:48 2022,8.6,12.6,False,True
Sat Apr 16 22:39:18 2022,8.7,12.7,False,True
Sat Apr 16 22:39:48 2022,8.7,12.8,False,True
Sat Apr 16 22:40:18 2022,8.7,12.9,False,True
Sat Apr 16 22:40:48 2022,8.7,13.0,False,True
Sat Apr 16 22:41:18 2022,8.7,13.1,False,True
Sat Apr 16 22:41:48 2022,8.6,13.2,False,True
Sat Apr 16 22:42:18 2022,8.6,13.3,False,True
Sat Apr 16 22:42:48 2022,8.6,13.4,False,True
Sat Apr 16 22:43:18 2022,8.6,13.5,False,True
Sat Apr 16 22:43:48 2022,8.6,13.6,False,True
Sat Apr 16 22:44:18 2022,8.6,13.7,False,True
Sat Apr 16 22:44:48 2022,8.6,13.8,False,True
Sat Apr 16 22:45:18 2022,8.5,13.8,False,True
Sat Apr 16 22:45:48 2022,8.6,13.9,False,True
Sat Apr 16 22:46:18 2022,8.5,14.0,False,True
Sat Apr 16 22:46:48 2022,8.6,14.1,False,True
Sat Apr 16 22:47:18 2022,8.5,14.2,False,True
Sat Apr 16 22:47:48 2022,8.5,14.2,False,True
Sat Apr 16 22:48:18 2022,8.5,14.3,False,True
Sat Apr 16 22:48:48 2022,8.5,14.4,False,True
Sat Apr 16 22:49:18 2022,8.5,14.4,False,True
Sat Apr 16 22:49:48 2022,8.5,14.5,False,True
Sat Apr 16 22:50:18 2022,8.5,14.6,False,True
Sat Apr 16 22:50:48 2022,8.5,14.7,False,True
Sat Apr 16 22:51:18 2022,8.4,14.7,False,True
Sat Apr 16 22:51:48 2022,8.4,14.8,False,True
Sat Apr 16 22:52:18 2022,8.4,14.9,False,True
Sat Apr 16 22:52:48 2022,8.4,14.9,False,True
