TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr  2 23:50:52 2022,10.4,8.5,True,True
Sat Apr  2 23:51:22 2022,10.8,8.4,True,True
Sat Apr  2 23:51:52 2022,11.0,8.4,True,True
Sat Apr  2 23:52:22 2022,11.1,8.4,True,True
Sat Apr  2 23:52:52 2022,11.3,8.4,True,True
Sat Apr  2 23:53:22 2022,11.4,8.4,True,True
Sat Apr  2 23:53:52 2022,11.5,8.4,True,True
Sat Apr  2 23:54:22 2022,11.6,8.4,True,True
Sat Apr  2 23:54:52 2022,11.7,8.4,True,True
Sat Apr  2 23:55:22 2022,11.7,8.4,True,True
Sat Apr  2 23:55:52 2022,11.9,8.4,True,True
Sat Apr  2 23:56:22 2022,11.9,8.4,True,True
Sat Apr  2 23:56:52 2022,12.0,8.5,True,True
Sat Apr  2 23:57:22 2022,12.1,8.5,True,True
Sat Apr  2 23:57:52 2022,12.2,8.6,True,True
Sat Apr  2 23:58:22 2022,12.3,8.7,True,True
Sat Apr  2 23:58:52 2022,12.3,8.7,True,True
Sat Apr  2 23:59:22 2022,12.4,8.8,True,True
Sat Apr  2 23:59:52 2022,12.5,8.9,True,True
Sun Apr  3 00:00:22 2022,12.5,9.0,True,True
Sun Apr  3 00:00:52 2022,12.6,9.0,True,True
Sun Apr  3 00:01:22 2022,12.6,9.1,True,True
Sun Apr  3 00:01:52 2022,12.7,9.2,True,True
Sun Apr  3 00:02:22 2022,12.8,9.3,True,True
Sun Apr  3 00:02:52 2022,12.8,9.4,True,True
Sun Apr  3 00:03:22 2022,12.8,9.5,True,True
Sun Apr  3 00:03:52 2022,12.9,9.6,True,True
Sun Apr  3 00:04:22 2022,12.9,9.6,True,True
Sun Apr  3 00:04:52 2022,13.0,9.7,True,True
Sun Apr  3 00:05:22 2022,13.0,9.8,True,True
Sun Apr  3 00:05:52 2022,13.1,9.9,True,True
Sun Apr  3 00:06:22 2022,13.1,10.0,True,True
Sun Apr  3 00:06:52 2022,13.1,10.1,True,True
Sun Apr  3 00:07:22 2022,13.2,10.2,True,True
Sun Apr  3 00:07:52 2022,13.2,10.2,True,True
Sun Apr  3 00:08:22 2022,13.3,10.3,True,True
Sun Apr  3 00:08:52 2022,13.3,10.4,True,True
Sun Apr  3 00:09:22 2022,13.4,10.5,True,True
Sun Apr  3 00:09:52 2022,13.4,10.6,True,True
Sun Apr  3 00:10:22 2022,13.5,10.6,True,True
Sun Apr  3 00:10:52 2022,13.5,10.7,True,True
Sun Apr  3 00:11:22 2022,13.6,10.8,True,True
Sun Apr  3 00:11:52 2022,13.6,10.9,True,True
